PlanetID,SystemID,Planet Name,Planet Type
40009080,30000142,Jita III,Temperate
40009082,30000142,Jita IV,Gas
40009077,30000142,Jita I,Barren
40009078,30000142,Jita II,Barren
40009098,30000142,Jita V,Gas
40009116,30000142,Jita VI,Lava
40009119,30000142,Jita VII,Ice
40009123,30000142,Jita VIII,Barren
40008856,30000138,Ikuchi III,Temperate
40008929,30000140,Maurasi V,Storm
40008931,30000140,Maurasi VI,Gas
40009130,30000143,Niyabainen III,Temperate
40009141,30000143,Niyabainen VI,Gas
40009177,30000143,Niyabainen VIII,Gas
40009235,30000144,Perimeter IV,Temperate
40009236,30000144,Perimeter V,Temperate
40009238,30000144,Perimeter VI,Temperate
40009241,30000144,Perimeter VII,Temperate
40009244,30000144,Perimeter VIII,Temperate
40009260,30000145,New Caldari IV,Temperate
40009264,30000145,New Caldari V,Temperate
40086875,30001363,Sobaseki X,Gas
40176382,30002780,Muvolailen VIII,Temperate
40008854,30000138,Ikuchi I,Lava
40008855,30000138,Ikuchi II,Lava
40008859,30000138,Ikuchi IV,Barren
40008863,30000138,Ikuchi V,Storm
40008867,30000138,Ikuchi VI,Gas
40008921,30000140,Maurasi I,Plasma
40008923,30000140,Maurasi II,Lava
40008925,30000140,Maurasi III,Barren
40008927,30000140,Maurasi IV,Barren
40008935,30000140,Maurasi VII,Storm
40008938,30000140,Maurasi VIII,Gas
40008960,30000140,Maurasi IX,Gas
40008980,30000140,Maurasi X,Gas
40009008,30000140,Maurasi XI,Gas
40009045,30000140,Maurasi XII,Ice
40009127,30000143,Niyabainen I,Barren
40009128,30000143,Niyabainen II,Barren
40009132,30000143,Niyabainen IV,Barren
40009134,30000143,Niyabainen V,Storm
40009162,30000143,Niyabainen VII,Gas
40009202,30000143,Niyabainen IX,Gas
40009229,30000144,Perimeter I,Barren
40009231,30000144,Perimeter II,Barren
40009234,30000144,Perimeter III,Barren
40009247,30000144,Perimeter IX,Barren
40009248,30000144,Perimeter X,Gas
40009253,30000145,New Caldari I,Oceanic
40009255,30000145,New Caldari II,Temperate
40009257,30000145,New Caldari III,Barren
40086847,30001363,Sobaseki I,Barren
40086848,30001363,Sobaseki II,Barren
40086849,30001363,Sobaseki III,Barren
40086851,30001363,Sobaseki IV,Temperate
40086854,30001363,Sobaseki V,Barren
40086855,30001363,Sobaseki VI,Storm
40086858,30001363,Sobaseki VII,Storm
40086861,30001363,Sobaseki VIII,Barren
40086864,30001363,Sobaseki IX,Gas
40086894,30001363,Sobaseki XI,Storm
40086897,30001363,Sobaseki XII,Barren
40086901,30001363,Sobaseki XIII,Ice
40176368,30002780,Muvolailen I,Barren
40176369,30002780,Muvolailen II,Barren
40176370,30002780,Muvolailen III,Barren
40176372,30002780,Muvolailen IV,Barren
