SystemID,Region,Constellation,Name,Security,Neighbors
30000142,The Forge,Kimotoro,Jita,0.95,30000138:30000140:30000143:30000144:30000145:30001363:30002780
30000138,The Forge,Ihilakken,Ikuchi,0.99,30000132:30000133:30000142:30001379:30010141
30000140,The Forge,Kimotoro,Maurasi,0.91,30000119:30000142:30000144:30002780
30000143,The Forge,Kimotoro,Niyabainen,0.96,30000142:30000144:30000145:30001379
30000144,The Forge,Kimotoro,Perimeter,0.95,30000139:30000140:30000142:30000143:30002642
30000145,The Forge,Kimotoro,New Caldari,1.00,30000133:30000142:30000143:30000156:30001393:30002754
30001363,Lonetrek,Koichi,Sobaseki,0.84,30000142:30001362:30001364:30001389:30001393:30001405
30002780,The Citadel,Outartoh,Muvolailen,0.71,30000140:30000142:30002775:30002776
30000119,The Forge,Ruomo,Itamo,0.67,30000120:30000121:30000123:30000124:30000125:30000140
30000132,The Forge,Ihilakken,Ansila,0.91,30000133:30000134:30000138
30000133,The Forge,Ihilakken,Hirtamon,0.97,30000132:30000138:30000145:30021407
30000139,The Forge,Kimotoro,Urlen,0.96,30000129:30000141:30000144:30002791:30002802
30000156,The Forge,Onirvura,Josameto,0.58,30000145:30000153:30000154:30000157
30001362,Lonetrek,Koichi,Veisto,0.84,30001363:30001374:30001377
30001364,Lonetrek,Koichi,Funtanainen,0.86,30001363:30001365:30002753:30021392
30001379,Lonetrek,Okela,Tunttaras,0.89,30000138:30000143:30001376:30001377:30002752:30041407
30001389,Lonetrek,Makiriemi,Isanamo,0.64,30001363:30001368:30001374:30001386:30001387:30002754
30001393,Lonetrek,Sela,Malkalen,0.95,30000145:30001363:30001392:30001394:30001395
30001405,Lonetrek,Karnola,Kakakela,0.97,30001363:30001404:30001406:30001407:30001408
30002642,Sinq Laison,Gallente Border Zone,Iyen-Oursta,0.78,30000144:30002643:30002647
30002754,The Citadel,Arekin,Alikara,0.71,30000145:30001380:30001389:30002751:30002753
30002775,The Citadel,Outartoh,Paara,0.78,30002752:30002776:30002780
30002776,The Citadel,Outartoh,Annaro,0.81,30002775:30002777:30002780
30010141,The Forge,Ihilakken,Sakenta,0.98,30000138
30000120,The Forge,Ruomo,Mitsolen,0.63,30000119:30000122
30000121,The Forge,Ruomo,Jatate,0.64,30000119
30000123,The Forge,Ruomo,Vaankalen,0.65,30000119
30000124,The Forge,Ruomo,Kylmabe,0.73,30000119
30000125,The Forge,Ruomo,Ahtulaima,0.61,30000119
30000129,The Forge,Anttanen,Unpas,0.95,30000130:30000139:30003400:30030141
30000134,The Forge,Ihilakken,Hykkota,0.82,30000132:30000135:30000136
30000141,The Forge,Kimotoro,Kisogo,1.00,30000139
30000153,The Forge,Onirvura,Poinen,0.56,30000131:30000154:30000155:30000156:30000157
30000154,The Forge,Onirvura,Liekuri,0.60,30000153:30000155:30000156
30000157,The Forge,Onirvura,Otela,0.53,30000153:30000156
30001365,Lonetrek,Koichi,Isikemi,0.78,30001364:30001366:30002753
30001368,Lonetrek,Haurala,Uemisaisen,0.61,30001369:30001370:30001371:30001389:30001400
30001374,Lonetrek,Okela,Iidoken,0.84,30001362:30001375:30001376:30001377:30001389:30001410
30001376,Lonetrek,Okela,Nourvukaiken,0.82,30001374:30001375:30001379:30002813
30001377,Lonetrek,Okela,Sarekuwa,0.94,30001362:30001374:30001379:30002781:30031407
30001380,Lonetrek,Kaala,Vellaine,0.58,30001381:30001382:30001384:30002754
30001386,Lonetrek,Makiriemi,Saatuban,0.55,30001389:30001391
30001387,Lonetrek,Makiriemi,Isikano,0.68,30001389:30001390
30001392,Lonetrek,Sela,Amsen,1.00,30001378:30001393
